l,mu,nu,Real,Imag,Magnitud
12,0,15,0.5274189026617516,0.03662328830050792,0.528688910542739
12,0,16,0.04046745194887812,-0.0916005856803978,0.10014130997858306
12,0,17,-0.026009475333606008,-0.014193581429605341,0.029630230524386694
12,0,18,-0.04046745194887817,-0.0916005856803978,0.10014130997858307
12,0,19,-0.024983237714239003,-0.029116331049175024,0.038365647400393596
12,0,20,0.09327384894010973,0.014575587631595138,0.0944058189462319
12,0,21,-0.09327384894010972,0.014575587631595145,0.09440581894623189
12,0,22,-0.024983237714239038,0.029116331049175027,0.03836564740039362
12,0,23,0.10702000837469654,-0.04806540143851422,0.11731822112513315
12,0,24,-0.10702000837469654,-0.04806540143851422,0.11731822112513315
12,1,0,-0.43236874265712594,0.011238317617002214,0.432514773631797
12,1,1,-0.09357864706369927,0.06137650342278706,0.11191085004895542
12,1,2,0.245870290151533,-0.027708634711882504,0.2474266922076023
12,1,3,0.07243877781588066,-0.04113198647177703,0.0833019618170723
12,1,4,-0.1340684482403989,-0.12402877176302299,0.1826403160275205
12,1,5,0.07311963412463991,-0.03938704656512631,0.08305311753115974
12,1,6,0.31934241653787226,-4.2436424363547576e-19,0.31934241653787226
12,1,7,-0.07311963412463991,-0.039387046565126316,0.08305311753115975
12,1,8,-0.13406844824039896,0.12402877176302302,0.18264031602752057
12,1,9,-0.07243877781588065,-0.04113198647177703,0.08330196181707229
12,1,10,0.245870290151533,0.027708634711882518,0.2474266922076023
12,1,11,0.0935786470636993,0.061376503422787033,0.11191085004895542
12,1,12,-0.43236874265712594,-0.011238317617002223,0.432514773631797
12,1,13,0.6374741478926965,0.11879549997149663,0.6484486564447469
12,1,14,-0.2418452734232627,0.036221402170564326,0.24454268799613382
12,1,15,-0.2418452734232627,-0.03622140217056432,0.24454268799613382
12,1,16,0.24495296358321558,-0.0007791116863477596,0.24495420262412307
12,1,17,0.6374741478926964,-0.11879549997149662,0.6484486564447468
12,1,18,-0.24495296358321567,-0.0007791116863478194,0.24495420262412315
12,1,19,0.14230035383462544,-0.10539970335141377,0.1770832803175546
12,1,20,0.05739978250308646,0.038233071568501066,0.06896740384387218
12,1,21,-0.05739978250308646,0.038233071568501066,0.06896740384387218
12,1,22,0.14230035383462553,0.10539970335141374,0.17708328031755466
12,1,23,0.2008399949056119,-0.019169928753186075,0.20175279359178264
12,1,24,-0.20083999490561194,-0.019169928753186075,0.20175279359178266
13,0,0,-0.11627216298936383,-0.01748202003414984,0.11757906663475265
13,0,1,-0.11627216298936385,0.017482020034149847,0.11757906663475268
13,0,2,0.07821656226806607,-0.00520095706392865,0.07838928860128204
13,0,3,0.2931076113326428,-0.006688104924694285,0.29318390571211667
13,0,4,-0.005243862133205845,0.03254809226147777,0.032967808540055245
13,0,5,-0.4664005035657519,-0.11039055249097879,0.4792864527666628
13,0,6,0.15744390263403552,0.02021174075461293,0.15873593462403948
13,0,7,0.27996539677982435,0.027512473806395918,0.28131398758154935
13,0,8,-0.25128908745701684,0.0670772452365252,0.2600876050554913
13,0,9,-0.009887434322069255,-0.03027945084945296,0.03185288842817352
13,0,10,0.18179464830435024,-0.0010065888867296121,0.1817974350019529
13,0,11,0.022229914348218378,-0.019626378469801354,0.02965406926155342
13,0,12,-9.638845511088959e-18,-0.03591926513181676,0.03591926513181676
13,0,13,0.0222299143482183,0.01962637846980142,0.029654069261553406
13,0,14,-0.18179464830435024,-0.0010065888867296095,0.1817974350019529
13,0,15,-0.009887434322069255,0.030279450849452962,0.03185288842817353
13,0,16,0.2512890874570168,0.0670772452365252,0.2600876050554912
13,0,17,-0.4633224222956995,-0.08211641268348763,0.4705430609773768
13,0,18,-0.2799653967798244,0.027512473806395925,0.2813139875815494
13,0,19,0.1574439026340355,-0.020211740754612958,0.15873593462403945
13,0,20,0.4664005035657519,-0.11039055249097879,0.4792864527666628
13,0,21,-0.00524386213320584,-0.03254809226147777,0.032967808540055245
13,0,22,-0.29310761133264285,-0.006688104924694282,0.2931839057121167
13,0,23,0.07821656226806607,0.0052009570639286505,0.07838928860128204
13,0,24,0.4633224222956995,-0.08211641268348763,0.4705430609773768
13,0,25,0.15557124897752517,0.02612960791029901,0.15775034046864395
13,0,26,0.15557124897752522,-0.026129607910299005,0.157750340468644
14,0,0,-0.33051286348854103,-0.02990357958305244,0.3318628888611604
14,0,1,0.00040086730578201837,0.01021622989674606,0.010224091543996118
14,0,2,0.01421329832389117,0.045875326927424194,0.04802669538852303
14,0,3,-0.26829225053687245,-0.01595811303551737,0.2687664284649299
14,0,4,-0.04445859853030355,-0.050339573465288404,0.06716129569883146
14,0,5,0.5406436103841297,0.007177123631564215,0.5406912469726224
14,0,6,-0.0031883716305058127,-0.055982296950003646,0.05607301744558252
14,0,7,-0.1760271688966199,-0.047258195998486775,0.18226053132477843
14,0,8,0.00581696938385912,-0.0045209705492112754,0.0073672455856710825
14,0,9,-0.023879711862687798,-0.015137285792813926,0.028273274656790616
14,0,10,-0.2189259711056375,0.008711321645855719,0.2190992194175141
14,0,11,0.1390240203900766,-0.02138844988141452,0.1406596745117456
14,0,12,-0.13902402039007655,-0.021388449881414508,0.14065967451174555
14,0,13,-0.21892597110563738,-0.008711321645855722,0.21909921941751398
14,0,14,0.023879711862687798,-0.015137285792813922,0.028273274656790616
14,0,15,-0.005816969383859112,-0.004520970549211322,0.007367245585671105
14,0,16,-0.17602716889661993,0.04725819599848678,0.18226053132477849
14,0,17,0.0031883716305058105,-0.05598229695000364,0.05607301744558251
14,0,18,0.5406436103841297,-0.007177123631564213,0.5406912469726224
14,0,19,0.04445859853030357,-0.050339573465288404,0.06716129569883147
14,0,20,-0.2682922505368725,0.01595811303551736,0.26876642846493
14,0,21,-0.01421329832389117,0.04587532692742419,0.04802669538852302
14,0,22,-0.00040086730578201793,0.01021622989674606,0.010224091543996118
14,0,23,-0.33051286348854103,0.029903579583052436,0.3318628888611604
14,0,24,0.1863354900532628,-0.00591177767363717,0.18642924654852874
14,0,25,0.21949311218913142,-2.8492873569556917e-19,0.21949311218913142
14,0,26,0.1863354900532628,0.0059117776736371695,0.18642924654852874
14,0,27,0.20828235979506207,-0.002509554911187485,0.20829747782354915
14,0,28,0.2082823597950621,0.002509554911187486,0.20829747782354918
15,0,0,-0.032468408065146996,0.01963106918517212,0.037941750086651474
15,0,1,-0.2069592241976005,0.002515710100874646,0.2069745135947523
15,0,2,-0.09350046282952638,0.00928314945718919,0.09396016929092964
15,0,3,0.2230425469611037,0.08392428408391234,0.2383091756812846
15,0,4,-0.027503812661945196,0.0019991442801620494,0.027576371929539274
15,0,5,-0.209004675925754,-0.014794530089922073,0.2095276418027251
15,0,6,0.03126675161868566,0.03391300327553135,0.04612701538091082
15,0,7,-0.09904414064858258,-0.02251849640687223,0.10157177008028621
15,0,8,0.07336539867492216,0.012973461529507558,0.07450364035929978
15,0,9,-0.08584953408920507,-0.03491313473559412,0.09267723280503865
15,0,10,0.11567128853859841,0.03896126064415004,0.12205665415355725
15,0,11,0.10003964177580293,-0.046003139010750815,0.11011003008569854
15,0,12,0.019408016792092822,0.01181519416382715,0.02272157408568104
15,0,13,-3.696470150855866e-18,0.033791324267492234,0.033791324267492234
15,0,14,0.01940801679209283,-0.011815194163827192,0.022721574085681064
15,0,15,0.10003964177580293,0.046003139010750815,0.11011003008569854
15,0,16,-0.11567128853859843,0.03896126064415004,0.12205665415355726
15,0,17,-0.08584953408920507,0.03491313473559412,0.09267723280503865
15,0,18,0.07336539867492219,-0.0129734615295075,0.0745036403592998
15,0,19,0.09904414064858257,-0.022518496406872233,0.1015717700802862
15,0,20,0.031266751618685654,-0.033913003275531345,0.0461270153809108
15,0,21,0.209004675925754,-0.014794530089922073,0.2095276418027251
15,0,22,-0.027503812661945223,-0.00199914428016205,0.0275763719295393
15,0,23,-0.22304254696110373,0.08392428408391232,0.23830917568128462
15,0,24,-0.09350046282952638,-0.00928314945718919,0.09396016929092964
15,0,25,0.2069592241976005,0.0025157101008746463,0.2069745135947523
